scenario_id,tier,cell,validation,governance,latency_ms,tokens,correct,confidence,rubric_composite,n_detected,n_injected,validator_iterations,audit_intact,measured_latency_ms,measured_governance_ms,measured_worker_ms,measured_validator_ms,measured_policy_ms,measured_audit_ms,measured_redaction_ms,measured_queue_ms,n_true_positive,n_false_positive,n_claims,governed_events,anchored_workers,peer_bias_exposure,entities_redacted
M-005,medium,Baseline,0,0,529.051,1042,1,0.5,0.6625,0,2,0,1,1.266955,0.0,1.266955,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-006,medium,Baseline,0,0,613.267,1180,0,0.5,0.1938,0,2,0,1,1.341748,0.0,1.341748,0.0,0.0,0.0,0.0,0.0,0,0,8,0,2,14,0
M-007,medium,Baseline,0,0,499.694,994,1,0.5,0.625,0,2,0,1,1.116029,0.0,1.116029,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-008,medium,Baseline,0,0,694.375,1124,0,0.5,0.175,0,2,0,1,0.922702,0.0,0.922702,0.0,0.0,0.0,0.0,0.0,0,0,8,0,1,14,0
M-009,medium,Baseline,0,0,583.351,1118,0,0.5,0.1938,0,2,0,1,1.072324,0.0,1.072324,0.0,0.0,0.0,0.0,0.0,0,0,8,0,1,14,0
M-010,medium,Baseline,0,0,642.11,1079,0,0.5,0.175,0,2,0,1,1.419154,0.0,1.419154,0.0,0.0,0.0,0.0,0.0,0,0,8,0,1,14,0
M-011,medium,Baseline,0,0,562.964,979,0,0.5,0.1938,0,2,0,1,0.845305,0.0,0.845305,0.0,0.0,0.0,0.0,0.0,0,0,8,0,1,14,0
M-012,medium,Baseline,0,0,598.183,1020,0,0.5,0.175,0,2,0,1,0.723582,0.0,0.723582,0.0,0.0,0.0,0.0,0.0,0,0,8,0,2,14,0
M-013,medium,Baseline,0,0,714.159,1212,1,0.5,0.625,0,2,0,1,0.854508,0.0,0.854508,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-014,medium,Baseline,0,0,649.307,1131,0,0.5,0.175,0,2,0,1,0.827499,0.0,0.827499,0.0,0.0,0.0,0.0,0.0,0,0,8,0,1,14,0
M-015,medium,Baseline,0,0,374.026,841,0,0.5,0.1562,0,2,0,1,1.807565,0.0,1.807565,0.0,0.0,0.0,0.0,0.0,0,0,8,0,1,14,0
M-016,medium,Baseline,0,0,609.201,1078,1,0.5,0.6625,0,2,0,1,0.709652,0.0,0.709652,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-017,medium,Baseline,0,0,525.514,1071,1,0.5,0.6438,0,2,0,1,0.62194,0.0,0.62194,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-018,medium,Baseline,0,0,618.368,1056,1,0.5,0.6438,0,2,0,1,0.718175,0.0,0.718175,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-019,medium,Baseline,0,0,667.8,987,1,0.5,0.625,0,2,0,1,0.82179,0.0,0.82179,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-020,medium,Baseline,0,0,589.831,1137,1,0.5,0.6625,0,2,0,1,0.919224,0.0,0.919224,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-021,medium,Baseline,0,0,655.679,1117,1,0.5,0.6438,0,2,0,1,1.503159,0.0,1.503159,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-022,medium,Baseline,0,0,536.382,1050,1,0.5,0.625,0,2,0,1,1.827715,0.0,1.827715,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
